City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
126,Tazovskiy,RU,2020-04-19 06:36:58,67.47,78.7,37.0,98,100,21.61,light rain,0.35,0.0
127,Saint-Pierre,RE,2020-04-19 06:33:53,-21.34,55.48,82.4,65,20,23.04,few clouds,0.0,0.0
128,Brae,GB,2020-04-19 06:34:03,60.4,-1.35,42.8,93,0,5.82,clear sky,0.0,0.0
129,Galesong,ID,2020-04-19 06:36:58,-5.32,119.37,87.8,79,40,10.29,scattered clouds,0.0,0.0
130,Sao Domingos Do Maranhao,BR,2020-04-19 06:36:59,-5.58,-44.39,71.78,90,100,1.1,light rain,0.29,0.0
131,Cayenne,GF,2020-04-19 06:36:59,4.93,-52.33,77.0,100,71,3.36,light rain,1.44,0.0
132,Chuy,UY,2020-04-19 06:32:51,-33.7,-53.46,63.01,90,0,9.64,clear sky,0.0,0.0
133,Buala,SB,2020-04-19 06:32:49,-8.14,159.59,83.77,72,68,0.67,light rain,1.16,0.0
134,Khatanga,RU,2020-04-19 06:33:04,71.97,102.5,26.51,96,0,7.05,clear sky,0.0,0.0
135,Yarim,YE,2020-04-19 06:37:00,14.3,44.38,56.48,41,100,2.01,light rain,2.41,0.0
136,Kokopo,PG,2020-04-19 06:37:00,-4.35,152.26,82.78,77,73,5.97,light rain,2.31,0.0
137,Zhangye,CN,2020-04-19 06:37:00,38.93,100.45,61.81,16,23,15.55,few clouds,0.0,0.0
138,Misratah,LY,2020-04-19 06:37:01,32.38,15.09,63.5,71,14,11.41,few clouds,0.0,0.0
139,Petropavlovsk-Kamchatskiy,RU,2020-04-19 06:37:01,53.05,158.65,33.8,34,15,29.08,few clouds,0.0,0.0
140,Magadan,RU,2020-04-19 06:37:01,59.57,150.8,16.14,83,64,8.39,broken clouds,0.0,0.0
141,Bonavista,CA,2020-04-19 06:37:01,48.65,-53.11,28.67,95,59,6.76,broken clouds,0.0,0.0
142,Kirakira,SB,2020-04-19 06:37:02,-10.45,161.92,82.29,76,99,2.95,light rain,2.71,0.0
143,Mozarlandia,BR,2020-04-19 06:37:02,-14.74,-50.57,69.82,84,67,3.62,broken clouds,0.0,0.0
144,Banyo,CM,2020-04-19 06:37:02,6.75,11.82,69.8,61,95,1.41,light rain,0.19,0.0
145,Torbay,CA,2020-04-19 06:33:01,47.67,-52.73,30.0,85,75,6.93,broken clouds,0.0,0.0
146,Charagua,BO,2020-04-19 06:37:03,-19.8,-63.22,57.07,44,0,3.29,clear sky,0.0,0.0
147,Port Augusta,AU,2020-04-19 06:37:03,-32.5,137.77,75.2,29,90,18.34,overcast clouds,0.0,0.0
148,Mikropolis,GR,2020-04-19 06:37:03,41.19,23.82,60.01,83,69,0.38,broken clouds,0.0,0.0
149,Praia,CV,2020-04-19 06:33:52,14.92,-23.51,71.6,56,75,14.99,broken clouds,0.0,0.0
150,San Sebastian,ES,2020-04-19 06:32:31,43.31,-1.98,57.99,100,75,2.24,moderate rain,0.0,0.0
151,Concordia,AR,2020-04-19 06:37:04,-31.39,-58.02,57.0,89,0,5.46,clear sky,0.0,0.0
152,Hit,IQ,2020-04-19 06:37:04,33.64,42.83,79.84,26,0,5.1,clear sky,0.0,0.0
153,Kangaatsiaq,GL,2020-04-19 06:33:59,68.31,-53.46,25.03,86,67,29.04,broken clouds,0.0,0.0
154,San Patricio,MX,2020-04-19 06:33:39,19.22,-104.7,74.43,75,44,8.23,scattered clouds,0.0,0.0
155,Manggar,ID,2020-04-19 06:37:05,-2.88,108.27,85.08,75,95,8.97,moderate rain,3.02,0.0
156,Vestmanna,FO,2020-04-19 06:37:05,62.16,-7.17,42.8,87,0,8.05,clear sky,0.0,0.0
157,Richards Bay,ZA,2020-04-19 06:32:10,-28.78,32.04,72.75,75,28,9.1,scattered clouds,0.0,0.0
158,Klaksvik,FO,2020-04-19 06:37:05,62.23,-6.59,42.8,87,0,8.05,clear sky,0.0,0.0
159,Vardo,NO,2020-04-19 06:33:54,70.37,31.11,35.83,89,100,9.22,overcast clouds,0.0,0.0
160,San Policarpo,PH,2020-04-19 06:37:06,12.18,125.51,83.41,74,20,11.23,few clouds,0.0,0.0
161,Tiksi,RU,2020-04-19 06:37:06,71.69,128.87,17.6,89,70,4.76,broken clouds,0.0,0.0
162,Haverfordwest,GB,2020-04-19 06:36:04,51.8,-4.97,51.01,87,51,8.05,broken clouds,0.0,0.0
163,Paamiut,GL,2020-04-19 06:37:06,61.99,-49.67,23.9,92,95,11.79,light snow,0.0,0.11
164,Guaruja,BR,2020-04-19 06:37:06,-23.99,-46.26,70.0,82,20,4.7,light rain,0.0,0.0
165,Lodwar,KE,2020-04-19 06:37:07,3.12,35.6,77.97,62,100,19.04,moderate rain,5.18,0.0
166,Cabo San Lucas,MX,2020-04-19 06:37:07,22.89,-109.91,66.0,85,3,11.9,clear sky,0.0,0.0
167,Sur,OM,2020-04-19 06:37:07,22.57,59.53,92.3,29,54,8.16,broken clouds,0.0,0.0
168,Omboue,GA,2020-04-19 06:37:07,-1.57,9.26,79.09,86,26,0.83,scattered clouds,0.0,0.0
169,Sasayama,JP,2020-04-19 06:37:08,35.07,135.22,62.6,55,75,11.41,broken clouds,0.0,0.0
170,Saint-Philippe,RE,2020-04-19 06:37:08,-21.36,55.77,82.4,65,20,23.04,few clouds,0.0,0.0
171,Sambava,MG,2020-04-19 06:37:08,-14.27,50.17,82.42,61,59,11.77,broken clouds,0.0,0.0
172,Atherton,GB,2020-04-19 06:37:08,53.52,-2.49,46.99,77,40,8.01,scattered clouds,0.0,0.0
173,Yunyang,CN,2020-04-19 06:37:08,33.45,112.71,70.57,39,1,3.36,clear sky,0.0,0.0
174,Tuatapere,NZ,2020-04-19 06:37:09,-46.13,167.68,48.99,77,67,5.99,light rain,0.23,0.0
175,Mokhsogollokh,RU,2020-04-19 06:37:09,61.47,128.92,21.72,85,100,5.68,overcast clouds,0.0,0.0
176,Constitucion,CL,2020-04-19 06:37:09,-35.33,-72.42,56.59,83,10,12.01,clear sky,0.0,0.0
177,Laela,TZ,2020-04-19 06:37:09,-8.57,32.05,62.26,59,86,7.65,overcast clouds,0.0,0.0
178,Vargashi,RU,2020-04-19 06:37:09,55.36,65.85,51.22,51,92,11.07,overcast clouds,0.0,0.0
179,Hami,CN,2020-04-19 06:37:10,42.8,93.45,70.83,15,75,7.11,broken clouds,0.0,0.0
180,San Felipe,VE,2020-04-19 06:37:10,10.34,-68.74,71.46,80,66,1.7,broken clouds,0.0,0.0
181,Grindavik,IS,2020-04-19 06:37:10,63.84,-22.43,44.01,100,90,6.93,light rain,0.0,0.0
182,Tobe,JP,2020-04-19 06:37:10,33.74,132.79,64.0,59,75,6.93,broken clouds,0.0,0.0
183,Berlevag,NO,2020-04-19 06:37:11,70.86,29.09,38.43,91,100,6.6,light rain,0.31,0.0
184,Gamba,GA,2020-04-19 06:37:11,-2.65,10.0,78.42,86,81,1.79,broken clouds,0.0,0.0
185,Anchorage,US,2020-04-19 06:35:38,61.22,-149.9,44.6,81,1,3.36,clear sky,0.0,0.0
186,Marystown,CA,2020-04-19 06:37:11,47.17,-55.15,31.3,95,100,13.42,overcast clouds,0.0,0.0
187,Gizo,SB,2020-04-19 06:37:11,-8.1,156.84,83.86,72,22,2.48,light rain,1.54,0.0
188,Cherskiy,RU,2020-04-19 06:37:12,68.75,161.3,8.28,93,7,13.47,clear sky,0.0,0.0
189,Dikson,RU,2020-04-19 06:33:03,73.51,80.55,35.2,93,100,19.75,light rain,0.84,0.0
190,Gasa,PS,2020-04-19 06:37:12,31.5,34.47,71.01,15,11,8.32,few clouds,0.0,0.0
191,Sechura,PE,2020-04-19 06:37:12,-5.56,-80.82,72.54,79,3,11.39,clear sky,0.0,0.0
192,Jequitinhonha,BR,2020-04-19 06:37:12,-16.43,-41.0,69.31,81,94,2.8,overcast clouds,0.0,0.0
193,Puerto Quijarro,BO,2020-04-19 06:37:13,-17.78,-57.77,68.2,73,23,2.44,few clouds,0.0,0.0
194,Axim,GH,2020-04-19 06:37:13,4.87,-2.24,80.24,82,66,6.73,light rain,2.22,0.0
195,Clyde River,CA,2020-04-19 06:34:00,70.47,-68.59,-4.0,91,1,8.05,clear sky,0.0,0.0
196,Jhawarian,PK,2020-04-19 06:37:13,32.36,72.62,84.79,29,7,5.21,clear sky,0.0,0.0
197,Yaan,NG,2020-04-19 06:37:13,7.38,8.57,78.28,76,95,7.9,overcast clouds,0.0,0.0
198,Orbetello,IT,2020-04-19 06:37:14,42.44,11.22,59.0,93,90,3.74,fog,0.0,0.0
199,Cairns,AU,2020-04-19 06:37:14,-16.92,145.77,87.01,70,40,6.93,scattered clouds,0.0,0.0
200,Severo-Kurilsk,RU,2020-04-19 06:37:14,50.68,156.12,31.59,93,71,18.95,broken clouds,0.0,0.0
201,Katobu,ID,2020-04-19 06:37:14,-4.94,122.53,89.35,54,84,5.03,light rain,0.77,0.0
202,Belmonte,BR,2020-04-19 06:37:14,-15.86,-38.88,73.4,83,75,5.82,broken clouds,0.0,0.0
203,Mayumba,GA,2020-04-19 06:37:15,-3.43,10.66,78.96,86,86,3.47,light rain,0.11,0.0
204,Kodinsk,RU,2020-04-19 06:37:15,58.69,99.18,40.62,52,0,5.23,clear sky,0.0,0.0
205,Talnakh,RU,2020-04-19 06:37:15,69.49,88.4,37.4,74,100,40.26,overcast clouds,0.0,0.0
206,Egypt Lake-Leto,US,2020-04-19 06:35:10,28.02,-82.51,75.2,73,40,3.36,scattered clouds,0.0,0.0
207,Teguise,ES,2020-04-19 06:37:15,29.06,-13.56,62.6,72,20,6.93,few clouds,0.0,0.0
208,La Ronge,CA,2020-04-19 06:32:58,55.1,-105.28,30.2,63,90,3.36,light snow,0.0,0.0
209,Rundu,NA,2020-04-19 06:37:16,-17.93,19.77,62.6,88,100,3.36,overcast clouds,0.0,0.0
210,Kavieng,PG,2020-04-19 06:37:16,-2.57,150.8,84.13,70,84,4.18,light rain,0.94,0.0
211,Adeje,ES,2020-04-19 06:37:16,28.12,-16.73,60.8,72,20,5.82,few clouds,0.0,0.0
212,Xiaoyi,CN,2020-04-19 06:37:17,34.62,109.7,75.15,24,6,3.78,clear sky,0.0,0.0
213,Asyut,EG,2020-04-19 06:37:17,27.18,31.18,60.8,67,0,14.99,clear sky,0.0,0.0
214,Geraldton,AU,2020-04-19 06:37:17,-28.77,114.6,78.8,47,94,18.34,overcast clouds,0.0,0.0
215,Bundaberg,AU,2020-04-19 06:32:17,-24.85,152.35,78.01,78,40,8.05,scattered clouds,0.0,0.0
216,Brownsville,US,2020-04-19 06:37:17,25.9,-97.5,77.0,88,75,17.94,broken clouds,0.0,0.0
217,Coquimbo,CL,2020-04-19 06:37:18,-29.95,-71.34,53.6,100,90,3.36,mist,0.0,0.0
218,Mount Isa,AU,2020-04-19 06:37:18,-20.73,139.5,93.2,15,44,10.29,scattered clouds,0.0,0.0
219,Maragogi,BR,2020-04-19 06:37:18,-9.01,-35.22,79.43,78,99,2.3,light rain,1.0,0.0
220,Kuching,MY,2020-04-19 06:37:18,1.55,110.33,87.8,70,40,5.82,scattered clouds,0.0,0.0
221,Mahebourg,MU,2020-04-19 06:37:18,-20.41,57.7,82.4,58,20,11.41,few clouds,0.0,0.0
222,Conceicao Da Barra,BR,2020-04-19 06:37:19,-18.59,-39.73,72.9,81,10,11.81,clear sky,0.0,0.0
223,Rafraf,TN,2020-04-19 06:37:19,37.19,10.18,64.4,93,20,8.05,few clouds,0.0,0.0
224,Katsuura,JP,2020-04-19 06:37:19,35.13,140.3,68.0,55,0,11.99,clear sky,0.0,0.0
225,Ahipara,NZ,2020-04-19 06:33:04,-35.17,173.17,65.05,81,100,6.8,overcast clouds,0.0,0.0
226,Abatskoye,RU,2020-04-19 06:37:20,56.29,70.46,54.75,68,91,10.4,light rain,0.42,0.0
227,Sao Gabriel Da Cachoeira,BR,2020-04-19 06:37:20,-0.13,-67.09,72.16,92,99,0.6,light rain,0.38,0.0
228,Hervey Bay,AU,2020-04-19 06:37:20,-25.3,152.85,79.0,78,40,8.05,scattered clouds,0.0,0.0
229,Ribeira Grande,PT,2020-04-19 06:37:20,38.52,-28.7,60.8,72,40,20.8,scattered clouds,0.0,0.0
230,Manzil Salim,TN,2020-04-19 06:37:20,35.86,8.48,64.4,31,75,6.93,broken clouds,0.0,0.0
231,Burnie,AU,2020-04-19 06:37:21,-41.07,145.92,55.99,8,90,1.01,overcast clouds,0.0,0.0
