City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
213,Asyut,EG,60.8,27.18,31.18,clear sky,Florence Hotel Assiut
214,Geraldton,AU,78.8,-28.77,114.6,overcast clouds,Broadwater Mariner Resort
215,Bundaberg,AU,78.01,-24.85,152.35,scattered clouds,Takalvan Motel
216,Brownsville,US,77.0,25.9,-97.5,broken clouds,Hotel Alameda Express
219,Maragogi,BR,79.43,-9.01,-35.22,light rain,Hotel Praia Dourada
220,Kuching,MY,87.8,1.55,110.33,scattered clouds,Hilton Kuching
221,Mahebourg,MU,82.4,-20.41,57.7,few clouds,Shandrani Beachcomber Resort & Spa
222,Conceicao Da Barra,BR,72.9,-18.59,-39.73,clear sky,Cricaré Praia Hotel
223,Rafraf,TN,64.4,37.19,10.18,few clouds,Les Jardins de la Mer Ghar el Melh
224,Katsuura,JP,68.0,35.13,140.3,clear sky,Katsuura Hotel Mikazuki
225,Ahipara,NZ,65.05,-35.17,173.17,overcast clouds,Ahipara Holiday Park
227,Sao Gabriel Da Cachoeira,BR,72.16,-0.13,-67.09,light rain,Alarne - Área De Lazer Do Alto Rio Negro
